(initramfs) cat /dfs/dynamic_debug/control
# filename:lineno [module]function flags format
drivers/iommu/iommu.c:1676 [iommu]__iommu_unmap =_ "unmapped: iova 0x%lx size 0x%zx\012"
drivers/iommu/dmar.c:556 [dmar]dmar_walk_remapping_entries =_ "[Firmware Bug]: Invalid 0-length s"
drivers/iommu/dmar.c:570 [dmar]dmar_walk_remapping_entries =_ "Unknown DMAR structure type %d\012"
drivers/iommu/intel-iommu.c:1869 [intel_iommu]domain_init =_ "Hardware doesn't support agaw %d\01"
drivers/iommu/intel-iommu.c:2703 [intel_iommu]iommu_domain_identity_map =_ "Mapping reserved regi"
drivers/iommu/intel-iommu.c:1988 [intel_iommu]domain_context_mapping_one =_ "Set context mapping "
drivers/iommu/intel-iommu.c:1588 [intel_iommu]iommu_init_domains =_ "%s: Number of Domains suppor"
drivers/iommu/intel-iommu.c:1316 [intel_iommu]__iommu_flush_iotlb =_ "TLB flush request %Lx, actu"
drivers/iommu/intel-iommu.c:2821 [intel_iommu]si_domain_init =_ "Identity mapping domain allocate"
drivers/iommu/intel-iommu.c:3752 [intel_iommu]intel_unmap =_ "DMAR: Device unmapping: pfn %lx-%lx"
drivers/gpu/drm/drm_print.c:141 [drm]__drm_printfn_debug =p "%s %pV"
drivers/gpu/vga/vgaarb.c:811 [vgaarb]vga_update_device_decodes =_ "vgaarb: decoding count now is:"
drivers/gpu/vga/vgaarb.c:260 [vgaarb]__vga_tryget =_ "vgaarb: %s: %d\012"
drivers/gpu/vga/vgaarb.c:261 [vgaarb]__vga_tryget =_ "vgaarb: %s: owns: %d\012"
drivers/gpu/vga/vgaarb.c:396 [vgaarb]__vga_put =_ "vgaarb: %s\012"
drivers/gpu/vga/vgaarb.c:1096 [vgaarb]vga_arb_write =_ "client 0x%p called 'lock'\012"
drivers/gpu/vga/vgaarb.c:1132 [vgaarb]vga_arb_write =_ "client 0x%p called 'unlock'\012"
drivers/gpu/vga/vgaarb.c:1188 [vgaarb]vga_arb_write =_ "client 0x%p called 'trylock'\012"
drivers/gpu/vga/vgaarb.c:1231 [vgaarb]vga_arb_write =_ "client 0x%p called 'target'\012"
drivers/gpu/vga/vgaarb.c:1245 [vgaarb]vga_arb_write =_ "invalid PCI address %04x:%02x:%02x.%x\012"
drivers/gpu/vga/vgaarb.c:1252 [vgaarb]vga_arb_write =_ "%s ==> %04x:%02x:%02x.%x pdev %p\012"
drivers/gpu/vga/vgaarb.c:1256 [vgaarb]vga_arb_write =_ "vgadev %p\012"
drivers/gpu/vga/vgaarb.c:1259 [vgaarb]vga_arb_write =_ "vgaarb: not a VGA device\012"
drivers/gpu/vga/vgaarb.c:1280 [vgaarb]vga_arb_write =_ "vgaarb: maximum user cards (%d) number re"
drivers/gpu/vga/vgaarb.c:1295 [vgaarb]vga_arb_write =_ "client 0x%p called 'decodes'\012"
drivers/gpu/vga/vgaarb.c:1320 [vgaarb]vga_arb_fpoll =_ "%s\012"
drivers/gpu/vga/vgaarb.c:1331 [vgaarb]vga_arb_open =_ "%s\012"
drivers/gpu/vga/vgaarb.c:1360 [vgaarb]vga_arb_release =_ "%s\012"
drivers/gpu/vga/vgaarb.c:1369 [vgaarb]vga_arb_release =_ "vgaarb: uc->io_cnt == %d, uc->mem_cnt ="
drivers/gpu/vga/vgaarb.c:1422 [vgaarb]pci_notify =_ "vgaarb: %s\012"
drivers/base/component.c:240 [component]try_to_bring_up_master =_ "trying to bring up master\012"
drivers/base/component.c:243 [component]try_to_bring_up_master =_ "master has incomplete componen"
drivers/base/component.c:249 [component]try_to_bring_up_master =_ "master is not for this compone"
drivers/base/component.c:196 [component]find_components =_ "Looking for component %zu\012"
drivers/base/component.c:207 [component]find_components =_ "found component %s, duplicate %u\012"
drivers/base/component.c:593 [component]component_bind =_ "binding %s (ops %ps)\012"
drivers/base/component.c:678 [component]__component_add =_ "adding component (ops %ps)\012"
drivers/base/core.c:391 [core]device_link_add =_ "Linked as a consumer to %s\012"
drivers/base/core.c:1536 [core]devices_kset_move_last =_ "devices_kset: Moving %s to end of list\"
drivers/base/core.c:2045 [core]device_add =_ "device: '%s': %s\012"
drivers/base/core.c:2305 [core]device_unregister =_ "device: '%s': %s\012"
drivers/base/core.c:2918 [core]device_rename =_ "renaming to %s\012"
drivers/base/core.c:2988 [core]device_move =_ "device: '%s': %s: moving to '%s'\012"
drivers/base/core.c:425 [core]__device_link_del =_ "Dropping the link to %s\012"
drivers/base/core.c:1314 [core]devm_attr_group_remove =_ "%s: removing group %p\012"
drivers/base/core.c:1323 [core]devm_attr_groups_remove =_ "%s: removing groups %p\012"
drivers/base/core.c:1166 [core]dev_uevent =_ "device: '%s': %s: bus uevent() returned %d\012"
drivers/base/core.c:1175 [core]dev_uevent =_ "device: '%s': %s: class uevent() returned %d\012"
drivers/base/core.c:1184 [core]dev_uevent =_ "device: '%s': %s: dev_type uevent() returned %d\012"
drivers/base/core.c:2682 [core]device_create_release =_ "device: '%s': %s\012"
drivers/base/core.c:1522 [core]devices_kset_move_after =_ "devices_kset: Moving %s after %s\012"
drivers/base/core.c:1506 [core]devices_kset_move_before =_ "devices_kset: Moving %s before %s\012"
drivers/base/bus.c:474 [bus]bus_add_device =_ "bus: '%s': add device %s\012"
drivers/base/bus.c:555 [bus]bus_remove_device =_ "bus: '%s': remove device %s\012"
drivers/base/bus.c:627 [bus]bus_add_driver =_ "bus: '%s': add driver %s\012"
drivers/base/bus.c:701 [bus]bus_remove_driver =_ "bus: '%s': remove driver %s\012"
drivers/base/bus.c:883 [bus]bus_register =_ "bus: '%s': registered\012"
drivers/base/bus.c:912 [bus]bus_unregister =_ "bus: '%s': unregistering\012"
drivers/base/bus.c:89 [bus]driver_release =_ "driver: '%s': %s\012"
drivers/base/dd.c:127 [dd]driver_deferred_probe_add =_ "Added to deferred list\012"
drivers/base/dd.c:137 [dd]driver_deferred_probe_del =_ "Removed from deferred list\012"
drivers/base/dd.c:618 [dd]driver_probe_done =_ "%s: probe_count = %d\012"
drivers/base/dd.c:660 [dd]driver_probe_device =_ "bus: '%s': %s: matched device %s with driver %s"
drivers/base/dd.c:337 [dd]driver_bound =_ "driver: '%s': %s: bound to device '%s'\012"
drivers/base/dd.c:113 [dd]deferred_probe_work_func =_ "Retrying from deferred list\012"
drivers/base/dd.c:466 [dd]really_probe =_ "Driver %s force probe deferral\012"
drivers/base/dd.c:479 [dd]really_probe =_ "bus: '%s': %s: probing driver %s with device %s\012"
drivers/base/dd.c:545 [dd]really_probe =_ "bus: '%s': %s: bound device %s to driver %s\012"
drivers/base/dd.c:567 [dd]really_probe =_ "Driver %s requests probe deferral\012"
drivers/base/dd.c:573 [dd]really_probe =_ "%s: probe of %s rejects match %d\012"
drivers/base/dd.c:853 [dd]__device_attach =_ "scheduling asynchronous probe\012"
drivers/base/dd.c:762 [dd]__device_attach_driver =_ "Device match requests probe deferral\012"
drivers/base/dd.c:765 [dd]__device_attach_driver =_ "Bus failed to match device: %d"
drivers/base/dd.c:804 [dd]__device_attach_async_helper =_ "async probe completed\012"
drivers/base/dd.c:995 [dd]__driver_attach =_ "Device match requests probe deferral\012"
drivers/base/dd.c:998 [dd]__driver_attach =_ "Bus failed to match device: %d"
drivers/base/dd.c:1010 [dd]__driver_attach =_ "probing driver %s asynchronously\012"
drivers/base/dd.c:970 [dd]__driver_attach_async_helper =_ "driver %s async attach completed: %d\0"
drivers/base/syscore.c:53 [syscore]syscore_suspend =_ "Checking wakeup interrupts\012"
drivers/base/class.c:157 [class]__class_register =_ "device class '%s': registering\012"
drivers/base/class.c:200 [class]class_unregister =_ "device class '%s': unregistering\012"
drivers/base/class.c:53 [class]class_release =_ "class '%s': release.\012"
drivers/base/class.c:59 [class]class_release =_ "class '%s' does not have a release() function, b"
drivers/base/class.c:207 [class]class_create_release =_ "%s called for %s\012"
drivers/base/platform.c:451 [platform]platform_device_add =_ "Registering platform device '%s'. P"
drivers/base/platform.c:832 [platform]__platform_register_drivers =_ "registering platform driver"
drivers/base/platform.c:846 [platform]__platform_register_drivers =_ "unregistering platform driv"
drivers/base/platform.c:867 [platform]platform_unregister_drivers =_ "unregistering platform driv"
drivers/base/power/main.c:132 [main]device_pm_add =_ "Adding info for %s:%s\012"
drivers/base/power/main.c:153 [main]device_pm_remove =_ "Removing info for %s:%s\012"
drivers/base/power/main.c:173 [main]device_pm_move_before =_ "Moving %s:%s before %s:%s\012"
drivers/base/power/main.c:187 [main]device_pm_move_after =_ "Moving %s:%s after %s:%s\012"
drivers/base/power/main.c:199 [main]device_pm_move_last =_ "Moving %s:%s to end of list\012"
drivers/base/power/main.c:415 [main]pm_dev_dbg =_ "%s%s%s\012"
drivers/base/power/wakeup.c:266 [wakeup]device_wakeup_enable =_ "Suspicious %s() during system tr"
drivers/base/power/clock_ops.c:403 [clock_ops]pm_clk_suspend =_ "%s()\012"
drivers/base/power/clock_ops.c:434 [clock_ops]pm_clk_resume =_ "%s()\012"
drivers/base/power/clock_ops.c:512 [clock_ops]pm_clk_runtime_suspend =_ "%s\012"
drivers/base/power/clock_ops.c:535 [clock_ops]pm_clk_runtime_resume =_ "%s\012"
drivers/base/power/clock_ops.c:74 [clock_ops]pm_clk_acquire =_ "Clock %pC con_id %s managed by ru"
drivers/base/power/clock_ops.c:474 [clock_ops]pm_clk_notify =_ "%s() %ld\012"
drivers/base/firmware_loader/main.c:382 [firmware_class]fw_name_devm_release =_ "%s: fw_name-%s d"
drivers/base/firmware_loader/main.c:372 [firmware_class]fw_set_page_data =_ "%s: fw-%s fw_priv=%p"
drivers/base/firmware_loader/main.c:517 [firmware_class]_request_firmware_prepare =_ "using built"
drivers/base/firmware_loader/main.c:223 [firmware_class]alloc_lookup_fw_priv =_ "batched request "
drivers/base/firmware_loader/main.c:192 [firmware_class]__allocate_fw_priv =_ "%s: fw-%s fw_priv="
drivers/base/firmware_loader/main.c:336 [firmware_class]fw_get_filesystem_firmware =_ "loading %s"
drivers/base/firmware_loader/main.c:339 [firmware_class]fw_get_filesystem_firmware =_ "direct-loa"
drivers/base/firmware_loader/main.c:249 [firmware_class]__free_fw_priv =_ "%s: fw-%s fw_priv=%p d"
drivers/base/firmware_loader/main.c:978 [firmware_class]fw_cache_piggyback_on_request =_ "%s: fw:"
drivers/base/firmware_loader/main.c:1121 [firmware_class]device_uncache_fw_images =_ "%s\012"
drivers/base/firmware_loader/main.c:920 [firmware_class]uncache_firmware =_ "%s: %s\012"
drivers/base/firmware_loader/main.c:1095 [firmware_class]device_cache_fw_images =_ "%s\012"
drivers/base/firmware_loader/main.c:881 [firmware_class]cache_firmware =_ "%s: %s\012"
drivers/base/firmware_loader/main.c:887 [firmware_class]cache_firmware =_ "%s: %s ret=%d\012"
drivers/base/regmap/regmap.c:1527 [regmap]_regmap_raw_write_impl =_ "Writing window %d/%zu\012"
drivers/base/regmap/regcache.c:191 [regcache]regcache_init =_ "Initializing %s cache\012"
drivers/base/regmap/regcache.c:219 [regcache]regcache_exit =_ "Destroying %s cache\012"
drivers/base/regmap/regcache.c:352 [regcache]regcache_sync =_ "Syncing %s cache\012"
drivers/base/regmap/regcache.c:423 [regcache]regcache_sync_region =_ "Syncing %s cache from %d-%d"
drivers/base/regmap/regcache.c:322 [regcache]regcache_default_sync =_ "Synced register %#x, value"
drivers/base/regmap/regcache.c:716 [regcache]regcache_sync_block_raw_flush =_ "Writing %zu bytes "
drivers/base/regmap/regcache.c:698 [regcache]regcache_sync_block_single =_ "Synced register %#x, "
drivers/base/regmap/regmap-debugfs.c:549 [regmap_debugfs]regmap_debugfs_init =_ "regmap locking d"
drivers/dma-buf/dma-buf.c:1114 [dma_buf]dma_buf_init_debugfs =_ "dma_buf: debugfs: failed to crea"
drivers/scsi/scsi_pm.c:68 [scsi_mod]scsi_dev_type_suspend =_ "scsi suspend: %d\012"
drivers/scsi/scsi_pm.c:80 [scsi_mod]scsi_dev_type_resume =_ "scsi resume: %d\012"
drivers/scsi/scsi_pm.c:252 [scsi_mod]scsi_runtime_suspend =_ "scsi_runtime_suspend\012"
drivers/scsi/scsi_pm.c:279 [scsi_mod]scsi_runtime_resume =_ "scsi_runtime_resume\012"
drivers/scsi/scsi_pm.c:290 [scsi_mod]scsi_runtime_idle =_ "scsi_runtime_idle\012"
drivers/net/phy/phy.c:960 [libphy]phy_state_machine =_ "PHY state change %s -> %s\012"
drivers/net/phy/phy_device.c:2294 [libphy]phy_driver_register =_ "%s: Registered new driver\012"
drivers/net/phy/mdio_device.c:80 [libphy]mdio_device_register =_ "mdio_device_register\012"
drivers/net/phy/mdio_device.c:192 [libphy]mdio_driver_register =_ "mdio_driver_register: %s\012"
drivers/net/ethernet/intel/e1000/e1000_main.c:4414 [e1000]e1000_clean_rx_irq =_ "Receive packet c"
drivers/net/ethernet/intel/e1000/e1000_hw.c:387 [e1000]e1000_reset_hw =_ "Disabling MWI on 82542 "
drivers/net/ethernet/intel/e1000/e1000_hw.c:392 [e1000]e1000_reset_hw =_ "Masking off all interru"
drivers/net/ethernet/intel/e1000/e1000_hw.c:425 [e1000]e1000_reset_hw =_ "Issuing a global reset "
drivers/net/ethernet/intel/e1000/e1000_hw.c:501 [e1000]e1000_reset_hw =_ "Masking off all interru"
drivers/net/ethernet/intel/e1000/e1000_hw.c:537 [e1000]e1000_init_hw =_ "Error Initializing Ident"
drivers/net/ethernet/intel/e1000/e1000_hw.c:545 [e1000]e1000_init_hw =_ "Initializing the IEEE VL"
drivers/net/ethernet/intel/e1000/e1000_hw.c:552 [e1000]e1000_init_hw =_ "Disabling MWI on 82542 r"
drivers/net/ethernet/intel/e1000/e1000_hw.c:574 [e1000]e1000_init_hw =_ "Zeroing the MTA\012"
drivers/net/ethernet/intel/e1000/e1000_hw.c:705 [e1000]e1000_setup_link =_ "EEPROM Read Error\012"
drivers/net/ethernet/intel/e1000/e1000_hw.c:729 [e1000]e1000_setup_link =_ "After fix-ups FlowCon"
drivers/net/ethernet/intel/e1000/e1000_hw.c:742 [e1000]e1000_setup_link =_ "EEPROM Read Error\012"
drivers/net/ethernet/intel/e1000/e1000_hw.c:759 [e1000]e1000_setup_link =_ "Initializing the Flow"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1527 [e1000]e1000_phy_setup_autoneg =_ "autoneg_adver"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1531 [e1000]e1000_phy_setup_autoneg =_ "Advertise 10m"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1537 [e1000]e1000_phy_setup_autoneg =_ "Advertise 10m"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1543 [e1000]e1000_phy_setup_autoneg =_ "Advertise 100"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1549 [e1000]e1000_phy_setup_autoneg =_ "Advertise 100"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1556 [e1000]e1000_phy_setup_autoneg =_ "Advertise 100"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1561 [e1000]e1000_phy_setup_autoneg =_ "Advertise 100"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1615 [e1000]e1000_phy_setup_autoneg =_ "Flow control "
drivers/net/ethernet/intel/e1000/e1000_hw.c:1623 [e1000]e1000_phy_setup_autoneg =_ "Auto-Neg Adve"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2026 [e1000]e1000_force_mac_fc =_ "Flow control param"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2480 [e1000]e1000_check_for_link =_ "Error configurin"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2492 [e1000]e1000_check_for_link =_ "Error configurin"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2512 [e1000]e1000_check_for_link =_ "Error getting li"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2570 [e1000]e1000_get_speed_and_duplex =_ "1000 Mbs, "
drivers/net/ethernet/intel/e1000/e1000_hw.c:2573 [e1000]e1000_get_speed_and_duplex =_ "100 Mbs, "
drivers/net/ethernet/intel/e1000/e1000_hw.c:2576 [e1000]e1000_get_speed_and_duplex =_ "10 Mbs, "
drivers/net/ethernet/intel/e1000/e1000_hw.c:2581 [e1000]e1000_get_speed_and_duplex =_ "Full Duple"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2584 [e1000]e1000_get_speed_and_duplex =_ " Half Dupl"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2587 [e1000]e1000_get_speed_and_duplex =_ "1000 Mbs, "
drivers/net/ethernet/intel/e1000/e1000_hw.c:3051 [e1000]e1000_phy_hw_reset =_ "Resetting Phy...\0"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3407 [e1000]e1000_phy_get_info =_ "PHY info is only v"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3420 [e1000]e1000_phy_get_info =_ "PHY info is only v"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3436 [e1000]e1000_validate_mdi_setting =_ "Invalid MD"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3973 [e1000]e1000_validate_eeprom_checksum =_ "EEPROM"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3988 [e1000]e1000_validate_eeprom_checksum =_ "EEPROM"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4007 [e1000]e1000_update_eeprom_checksum =_ "EEPROM R"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4014 [e1000]e1000_update_eeprom_checksum =_ "EEPROM W"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4243 [e1000]e1000_read_mac_addr =_ "EEPROM Read Error"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4774 [e1000]e1000_reset_adaptive =_ "Not in Adaptive "
drivers/net/ethernet/intel/e1000/e1000_hw.c:4812 [e1000]e1000_update_adaptive =_ "Not in Adaptive"
drivers/net/ethernet/intel/e1000/e1000_hw.c:877 [e1000]e1000_setup_fiber_serdes_link =_ "Flow con"
drivers/net/ethernet/intel/e1000/e1000_hw.c:887 [e1000]e1000_setup_fiber_serdes_link =_ "Auto-neg"
drivers/net/ethernet/intel/e1000/e1000_hw.c:905 [e1000]e1000_setup_fiber_serdes_link =_ "Looking "
drivers/net/ethernet/intel/e1000/e1000_hw.c:913 [e1000]e1000_setup_fiber_serdes_link =_ "Never go"
drivers/net/ethernet/intel/e1000/e1000_hw.c:922 [e1000]e1000_setup_fiber_serdes_link =_ "Error wh"
drivers/net/ethernet/intel/e1000/e1000_hw.c:928 [e1000]e1000_setup_fiber_serdes_link =_ "Valid Li"
drivers/net/ethernet/intel/e1000/e1000_hw.c:931 [e1000]e1000_setup_fiber_serdes_link =_ "No Signa"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1438 [e1000]e1000_setup_copper_link =_ "gbe_dhg_phy_s"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1454 [e1000]e1000_setup_copper_link =_ "Forcing speed"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1457 [e1000]e1000_setup_copper_link =_ "Error Forcing"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1479 [e1000]e1000_setup_copper_link =_ "Valid link es"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1485 [e1000]e1000_setup_copper_link =_ "Unable to est"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1030 [e1000]e1000_copper_link_preconfig =_ "Error, di"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1033 [e1000]e1000_copper_link_preconfig =_ "Phy ID = "
drivers/net/ethernet/intel/e1000/e1000_hw.c:3195 [e1000]e1000_detect_gig_phy =_ "Invalid MAC type"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3201 [e1000]e1000_detect_gig_phy =_ "PHY ID 0x%X dete"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3204 [e1000]e1000_detect_gig_phy =_ "Invalid PHY ID 0"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1073 [e1000]e1000_copper_link_igp_setup =_ "Error Res"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1090 [e1000]e1000_copper_link_igp_setup =_ "Error Dis"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1295 [e1000]e1000_copper_link_mgp_setup =_ "Error Res"
drivers/net/ethernet/intel/e1000/e1000_hw.c:965 [e1000]gbe_dhg_phy_setup =_ "e1000_copper_link_rt"
drivers/net/ethernet/intel/e1000/e1000_hw.c:985 [e1000]gbe_dhg_phy_setup =_ "e1000_copper_link_rt"
drivers/net/ethernet/intel/e1000/e1000_hw.c:990 [e1000]gbe_dhg_phy_setup =_ "Error Resetting the "
drivers/net/ethernet/intel/e1000/e1000_hw.c:949 [e1000]e1000_copper_link_rtl_setup =_ "Error Rese"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1329 [e1000]e1000_copper_link_autoneg =_ "Reconfiguri"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1332 [e1000]e1000_copper_link_autoneg =_ "Error Setti"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1335 [e1000]e1000_copper_link_autoneg =_ "Restarting "
drivers/net/ethernet/intel/e1000/e1000_hw.c:1356 [e1000]e1000_copper_link_autoneg =_ "Error while"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2631 [e1000]e1000_wait_autoneg =_ "Waiting for Auto-N"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1655 [e1000]e1000_phy_force_speed_duplex =_ "hw->fc ="
drivers/net/ethernet/intel/e1000/e1000_hw.c:1684 [e1000]e1000_phy_force_speed_duplex =_ "Full Dup"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1691 [e1000]e1000_phy_force_speed_duplex =_ "Half Dup"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1701 [e1000]e1000_phy_force_speed_duplex =_ "Forcing "
drivers/net/ethernet/intel/e1000/e1000_hw.c:1707 [e1000]e1000_phy_force_speed_duplex =_ "Forcing "
drivers/net/ethernet/intel/e1000/e1000_hw.c:1730 [e1000]e1000_phy_force_speed_duplex =_ "M88E1000"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1770 [e1000]e1000_phy_force_speed_duplex =_ "Waiting "
drivers/net/ethernet/intel/e1000/e1000_hw.c:1798 [e1000]e1000_phy_force_speed_duplex =_ "Error Re"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1388 [e1000]e1000_copper_link_postconfig =_ "Error co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1394 [e1000]e1000_copper_link_postconfig =_ "Error Co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:1402 [e1000]e1000_copper_link_postconfig =_ "Error Co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2070 [e1000]e1000_config_fc_after_link_up =_ "Error f"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2154 [e1000]e1000_config_fc_after_link_up =_ "Flow Co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2158 [e1000]e1000_config_fc_after_link_up =_ "Flow Co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2175 [e1000]e1000_config_fc_after_link_up =_ "Flow Co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2191 [e1000]e1000_config_fc_after_link_up =_ "Flow Co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2219 [e1000]e1000_config_fc_after_link_up =_ "Flow Co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2223 [e1000]e1000_config_fc_after_link_up =_ "Flow Co"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2234 [e1000]e1000_config_fc_after_link_up =_ "Error g"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2247 [e1000]e1000_config_fc_after_link_up =_ "Error f"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2252 [e1000]e1000_config_fc_after_link_up =_ "Copper "
drivers/net/ethernet/intel/e1000/e1000_hw.c:2288 [e1000]e1000_check_for_serdes_link_generic =_ "N"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2301 [e1000]e1000_check_for_serdes_link_generic =_ "E"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2310 [e1000]e1000_check_for_serdes_link_generic =_ "R"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2326 [e1000]e1000_check_for_serdes_link_generic =_ "S"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2330 [e1000]e1000_check_for_serdes_link_generic =_ "S"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2344 [e1000]e1000_check_for_serdes_link_generic =_ "S"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2348 [e1000]e1000_check_for_serdes_link_generic =_ "S"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2352 [e1000]e1000_check_for_serdes_link_generic =_ "S"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2356 [e1000]e1000_check_for_serdes_link_generic =_ "S"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2823 [e1000]e1000_read_phy_reg_ex =_ "PHY Address %d "
drivers/net/ethernet/intel/e1000/e1000_hw.c:2851 [e1000]e1000_read_phy_reg_ex =_ "MDI Read did no"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2857 [e1000]e1000_read_phy_reg_ex =_ "MDI Read Error\"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2878 [e1000]e1000_read_phy_reg_ex =_ "MDI Read did no"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2882 [e1000]e1000_read_phy_reg_ex =_ "MDI Error\012"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2961 [e1000]e1000_write_phy_reg_ex =_ "PHY Address %d"
drivers/net/ethernet/intel/e1000/e1000_hw.c:2990 [e1000]e1000_write_phy_reg_ex =_ "MDI Write did "
drivers/net/ethernet/intel/e1000/e1000_hw.c:3011 [e1000]e1000_write_phy_reg_ex =_ "MDI Write did "
drivers/net/ethernet/intel/e1000/e1000_hw.c:3886 [e1000]e1000_do_read_eeprom =_ "\042words\042 pa"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3690 [e1000]e1000_acquire_eeprom =_ "Could not acquir"
drivers/net/ethernet/intel/e1000/e1000_hw.c:3843 [e1000]e1000_spi_eeprom_ready =_ "SPI EEPROM Sta"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4058 [e1000]e1000_do_write_eeprom =_ "\042words\042 p"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4203 [e1000]e1000_write_eeprom_microwire =_ "EEPROM W"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4279 [e1000]e1000_init_rx_addrs =_ "Programming MAC A"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4288 [e1000]e1000_init_rx_addrs =_ "Clearing RAR[1-14"
drivers/net/ethernet/intel/e1000/e1000_hw.c:4448 [e1000]e1000_id_led_init =_ "EEPROM Read Error\0"
drivers/net/ethernet/intel/e1000/e1000_hw.c:5199 [e1000]e1000_config_dsp_after_link_change =_ "Er"
drivers/net/ethernet/intel/e1000e/82571.c:302 [e1000e]e1000_init_mac_params_82571 =_ "Please upda"
drivers/net/ethernet/intel/e1000e/82571.c:1522 [e1000e]e1000_check_for_serdes_link_82571 =_ "AN_U"
drivers/net/ethernet/intel/e1000e/82571.c:1541 [e1000e]e1000_check_for_serdes_link_82571 =_ "FORC"
drivers/net/ethernet/intel/e1000e/82571.c:1556 [e1000e]e1000_check_for_serdes_link_82571 =_ "AN_P"
drivers/net/ethernet/intel/e1000e/82571.c:1562 [e1000e]e1000_check_for_serdes_link_82571 =_ "AN_P"
drivers/net/ethernet/intel/e1000e/82571.c:1576 [e1000e]e1000_check_for_serdes_link_82571 =_ "Erro"
drivers/net/ethernet/intel/e1000e/82571.c:1582 [e1000e]e1000_check_for_serdes_link_82571 =_ "AN_P"
drivers/net/ethernet/intel/e1000e/82571.c:1597 [e1000e]e1000_check_for_serdes_link_82571 =_ "DOWN"
